PDB ID,Angle Alpha,Angle Beta,Angle Gamma,Length A,Length B,Length C,Space Group,Z-number
"1HPU","110.79","106.43","107.76","89.40","89.96","96.26","P 1","4"
"1HSA","80.30","88.60","89.90","45.10","69.80","81.10","P 1","2"
"1HSJ","65.72","67.18","69.58","64.74","70.64","75.47","P 1","2"
"1HSZ","79.90","89.50","69.30","43.90","53.40","90.20","P 1","2"
"1HTB","92.71","103.17","69.15","54.03","44.43","92.74","P 1","2"
"1HTT","115.00","97.40","90.00","61.40","110.70","108.70","P 1","4"
"1HV4","71.55","65.10","83.10","70.66","94.10","59.23","P 1","4"
"1HVY","70.23","83.29","73.28","68.85","70.50","74.53","P 1","4"
"1I07","107.39","96.87","104.56","27.90","28.52","37.19","P 1","2"
"1I1F","82.09","76.47","77.78","49.57","62.97","74.56","P 1","2"
"1I1Y","81.93","75.94","78.00","50.61","63.59","75.33","P 1","2"
"1I2A","83.32","80.14","74.72","33.58","38.88","54.94","P 1","1"
"1I2M","100.92","92.05","104.47","50.33","71.45","77.73","P 1","2"
"1I53","80.52","77.69","66.97","35.00","42.87","48.51","P 1","2"
"1I75","85.03","104.88","101.02","64.78","74.24","79.03","P 1","2"
"1I7K","62.66","75.26","81.99","40.97","48.37","51.76","P 1","2"
"1I7R","82.09","76.20","78.13","50.86","63.82","75.87","P 1","2"
"1I7T","82.02","76.28","77.96","49.92","62.93","74.70","P 1","2"
"1I7U","81.94","76.44","77.94","50.46","63.33","75.44","P 1","2"
"1IB1","90.14","90.06","63.04","74.72","75.08","101.78","P 1","4"
"1IC2","93.70","98.10","104.40","41.40","45.50","56.30","P 1","4"
"1ICP","63.71","83.85","77.36","53.39","71.32","71.53","P 1","2"
"1ICQ","62.42","85.19","79.96","53.58","72.76","72.62","P 1","2"
"1ICS","62.92","85.17","78.69","53.86","72.03","72.36","P 1","2"
"1IDJ","78.60","90.10","104.60","47.90","52.40","76.30","P 1","2"
"1IEI","76.20","76.70","67.50","40.40","47.97","47.66","P 1","1"
"1IF0","90.00","90.00","90.00","600.00","600.00","600.00","P 1","7"
"1IFD","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFI","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFJ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFK","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFL","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFM","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFN","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IFP","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IGA","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1IGT","88.05","92.35","97.23","65.82","76.77","100.64","P 1","2"
"1IHJ","106.55","100.61","118.25","42.17","44.15","44.46","P 1","2"
"1II4","89.98","89.70","90.00","70.97","72.66","89.74","P 1","4"
"1IIL","90.01","89.82","90.00","70.80","72.49","89.92","P 1","4"
"1IJ3","86.47","84.49","79.40","25.56","25.84","34.37","P 1","3"
"1IJS","61.90","62.60","60.20","267.60","268.50","274.30","P 1","60"
"1IL5","93.90","112.40","84.43","42.07","65.95","50.81","P 1","2"
"1ILC","74.42","76.44","59.90","39.82","40.16","39.46","P 1","6"
"1IM3","109.02","109.46","107.93","95.48","96.70","99.54","P 1","4"
"1IST","84.91","95.22","108.56","44.95","53.11","32.02","P 1","2"
"1ITX","109.29","95.45","116.68","43.01","46.84","55.70","P 1","1"
"1IY8","103.87","91.40","105.48","66.67","79.18","112.67","P 1","8"
"1J0B","73.18","90.11","68.49","105.87","147.28","149.07","P 1","24"
"1J51","89.98","90.30","90.09","66.87","62.44","95.52","P 1","4"
"1J5S","115.73","97.57","110.44","77.41","79.96","89.43","P 1","3"
"1J91","89.77","102.51","99.27","48.26","55.94","60.30","P 1","2"
"1JAD","101.07","96.96","100.70","39.11","51.93","79.35","P 1","2"
"1JBM","87.58","72.86","81.45","45.07","54.08","62.35","P 1","7"
"1JCD","88.05","84.95","87.56","21.84","26.93","45.81","P 1","3"
"1JDF","104.11","93.75","113.12","70.93","83.93","98.22","P 1","4"
"1JEW","","","","","","","P 1","1"
"1JKX","80.83","71.71","83.69","55.14","56.01","76.13","P 1","4"
"1JNU","93.14","93.79","90.40","44.84","54.77","70.96","P 1","4"
"1JOH","88.90","96.64","123.85","26.53","28.82","9.06","P 1","2"
"1JPA","112.95","103.17","91.58","47.05","57.62","67.74","P 1","2"
"1JPP","68.70","87.04","85.32","51.09","69.25","95.10","P 1","2"
"1JR2","80.47","73.32","88.33","39.85","59.25","61.94","P 1","2"
"1JRO","109.53","105.83","101.33","92.88","141.05","158.11","P 1","4"
"1JRP","109.59","105.84","101.25","92.62","140.73","157.66","P 1","4"
"1JTI","89.11","63.27","61.72","61.71","65.46","68.42","P 1","2"
"1JTS","96.88","97.18","119.86","91.03","91.28","164.44","P 1","24"
"1JU2","79.57","77.78","67.19","56.18","67.49","79.80","P 1","2"
"1JU6","71.67","85.72","75.11","68.14","69.63","73.96","P 1","4"
"1JVA","103.10","98.79","78.98","66.18","68.85","58.52","P 1","2"
"1JW4","99.60","101.60","104.50","38.10","44.60","58.30","P 1","1"
"1JW5","100.60","101.00","103.70","37.90","44.60","58.10","P 1","1"
"1JX9","72.61","74.09","73.68","50.59","63.97","64.02","P 1","1"
"1JXO","89.96","90.00","91.78","45.01","53.41","63.26","P 1","2"
"1JYL","93.40","92.80","97.10","48.20","69.00","81.60","P 1","4"
"1K2O","71.16","65.20","62.31","63.87","67.05","72.52","P 1","2"
"1K3Z","95.17","91.80","105.45","46.40","48.92","59.47","P 1","2"
"1K4K","72.68","88.77","69.55","58.44","66.53","72.86","P 1","4"
"1K5C","72.50","68.93","69.24","46.40","52.02","37.34","P 1","1"
"1K5D","71.59","80.55","67.78","101.55","103.11","120.18","P 1","4"
"1K5G","71.67","79.09","67.81","99.93","102.57","118.85","P 1","4"
"1K5Q","72.86","73.91","73.50","50.76","63.96","64.24","P 1","1"
"1K5S","72.89","74.01","73.55","50.82","64.36","64.75","P 1","1"
"1K72","93.60","100.80","99.50","57.00","57.60","86.80","P 1","2"
"1K7D","72.54","73.29","73.58","51.33","64.55","64.35","P 1","1"
"1K9X","88.64","78.54","69.44","66.34","86.78","107.89","P 1","4"
"1KAF","94.77","91.10","95.61","31.28","54.73","91.44","P 1","6"
"1KBO","76.80","76.93","86.28","55.64","57.03","96.88","P 1","4"
"1KBQ","77.25","76.83","86.90","55.48","56.77","96.91","P 1","4"
"1KBV","83.89","74.14","73.32","65.29","98.10","102.30","P 1","6"
"1KBW","83.55","73.70","73.01","66.23","99.55","103.71","P 1","6"
"1KCC","72.31","69.09","70.35","46.51","52.14","37.19","P 1","1"
"1KCD","72.39","69.50","70.54","46.50","52.07","37.23","P 1","1"
"1KEB","69.25","79.71","85.39","29.32","37.50","50.74","P 1","2"
"1KEC","72.60","73.86","73.56","50.78","64.23","64.54","P 1","1"
"1KEL","94.30","113.80","78.90","52.70","58.20","43.20","P 1","1"
"1KEM","95.30","103.20","93.60","47.20","58.60","43.40","P 1","1"
"1KES","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
